name,is_private,accept,enroll,fail,pass,graduation_rate
Tulane University,Yes,5125,1223,4941,1534,74
Tusculum College,Yes,372,145,983,40,52
Tuskegee University,Yes,1827,611,2825,144,65
Union College KY,Yes,384,177,634,78,64
Union College NY,Yes,1712,528,1915,123,88
Univ. of Wisconsin at OshKosh,No,2900,1515,7764,1472,56
University of Alabama at Birmingham,No,1260,938,6960,4698,33
University of Arkansas at Fayetteville,No,3108,2133,9978,1530,39
University of California at Berkeley,No,8252,3215,19532,2061,78
University of California at Irvine,No,10775,2478,12677,864,66
University of Central Florida,No,2959,1918,12330,7152,46
University of Charleston,Yes,535,204,771,611,57
University of Chicago,Yes,2999,922,3340,39,90
University of Cincinnati,No,5553,2408,11036,2011,54
University of Connecticut at Storrs,No,7187,2064,12478,1660,71
University of Dallas,Yes,588,246,1058,73,63
University of Dayton,Yes,5293,1507,5889,665,93
University of Delaware,Yes,10516,3252,14130,4522,75
University of Denver,Yes,2001,580,2666,554,67
University of Detroit Mercy,Yes,731,415,2149,2217,51
University of Dubuque,Yes,558,137,662,131,45
University of Evansville,Yes,1626,694,2551,407,77
University of Florida,No,8836,3623,24470,3286,66
University of Georgia,No,7871,3320,19553,2748,63
University of Hartford,Yes,4040,1194,3768,1415,66
University of Hawaii at Manoa,No,2603,1627,11028,2411,54
University of Illinois - Urbana,No,11652,5705,25422,911,81
University of Illinois at Chicago,No,5727,2710,13518,2916,34
University of Indianapolis,Yes,1276,388,1417,1646,69
University of Kansas,No,5561,3681,17880,1673,57
University of La Verne,Yes,969,226,1431,1522,47
University of Louisville,No,3057,1823,9844,6198,31
University of Maine at Farmington,No,803,438,1906,344,59
University of Maine at Machias,No,369,172,633,317,64
University of Maine at Presque Isle,No,381,235,974,503,35
University of Maryland at Baltimore County,No,2594,985,6476,2592,55
University of Maryland at College Park,No,10315,3409,19340,3991,63
University of Massachusetts at Amherst,No,12414,3816,16282,1940,68
University of Massachusetts at Dartmouth,No,2597,1006,4664,1630,56
University of Miami,Yes,5386,1643,7760,876,59
University of Michigan at Ann Arbor,No,12940,4893,22045,1339,87
University of Minnesota at Duluth,No,3126,1656,5887,1254,53
University of Minnesota at Morris,No,874,588,1846,154,51
University of Minnesota Twin Cities,No,6397,3524,16502,21836,45
University of Mississippi,No,3383,1669,7524,804,53
University of Missouri at Columbia,No,4637,2940,14782,1583,58
University of Missouri at Rolla,No,1826,823,3926,561,49
University of Missouri at Saint Louis,No,1141,479,4793,4552,48
University of Mobile,Yes,331,269,1417,301,52
University of Montevallo,No,892,570,2385,331,51
University of Nebraska at Lincoln,No,6003,3526,16454,3171,53
University of New England,Yes,750,265,820,159,64
University of New Hampshire,No,7640,2529,10358,1338,75
University of North Carolina at Asheville,No,979,394,2033,1078,37
University of North Carolina at Chapel Hill,No,5985,3331,14609,1100,83
University of North Carolina at Charlotte,No,4441,1730,10099,3255,62
University of North Carolina at Greensboro,No,4134,1500,7532,1847,53
University of North Carolina at Wilmington,No,3856,1449,6635,1145,55
University of North Dakota,No,2249,1652,8334,1435,49
University of North Florida,No,1253,560,3876,3588,47
University of North Texas,No,2737,2049,14047,5134,35
University of Northern Colorado,No,4007,1697,8463,1498,40
University of Northern Iowa,No,3379,1853,10135,1448,77
University of Notre Dame,Yes,3700,1906,7671,30,97
University of Oklahoma,No,3970,2233,13436,2582,44
University of Oregon,No,6732,2546,11669,1605,54
University of Pennsylvania,Yes,5232,2464,9205,531,93
University of Pittsburgh-Main Campus,No,6383,2503,13138,4289,66
University of Portland,Yes,1485,419,2041,174,72
University of Puget Sound,Yes,2826,688,2738,138,63
University of Rhode Island,No,7751,1968,8894,2456,63
University of Richmond,Yes,2718,756,2854,594,100
University of Rochester,Yes,5498,1243,5071,438,80
University of San Diego,Yes,2735,886,3698,217,66
University of San Francisco,Yes,1721,538,4309,549,62
University of Sci. and Arts of Oklahoma,No,280,208,1140,473,43
University of Scranton,Yes,2942,910,3674,493,92
University of South Carolina at Aiken,No,560,377,1855,1412,48
University of South Carolina at Columbia,No,5815,2328,12594,3661,63
University of South Florida,No,4676,1876,14770,10962,47
University of Southern California,Yes,8498,2477,13259,1429,68
University of Southern Colorado,No,1239,605,3716,675,36
University of Southern Indiana,No,2133,1292,4283,2973,38
University of Southern Mississippi,No,2044,1046,9260,1387,45
University of St. Thomas MN,Yes,1807,828,4106,982,89
University of St. Thomas TX,Yes,280,185,995,408,62
University of Tennessee at Knoxville,No,5372,3013,15749,3237,53
University of Texas at Arlington,No,2559,1448,10975,8431,29
University of Texas at Austin,No,9572,5329,30017,5189,65
University of Texas at San Antonio,No,3100,1686,9375,5457,50
University of the Arts,Yes,704,290,1145,39,57
University of the Pacific,Yes,1997,582,2664,299,65
University of the South,Yes,966,326,1129,24,82
University of Tulsa,Yes,1557,696,2936,433,47
University of Utah,No,4491,2400,13894,8374,37
University of Vermont,No,6008,1735,7353,1674,79
University of Virginia,No,5384,2678,11278,114,95
University of Washington,No,7025,3343,20356,4582,65
University of West Florida,No,1254,472,3754,2477,53
University of Wisconsin-Stout,No,1966,1030,6038,579,65
University of Wisconsin-Superior,No,910,342,1434,417,36
University of Wisconsin-Whitewater,No,3719,1472,7804,1552,67
University of Wisconsin at Green Bay,No,1939,759,3819,1347,46
University of Wisconsin at Madison,No,10932,4631,23945,2200,72
University of Wisconsin at Milwaukee,No,3782,1930,11561,7443,38
University of Wyoming,No,1516,1073,7535,1488,45
Upper Iowa University,Yes,452,192,1481,1160,78
Ursinus College,Yes,1026,308,1131,17,79
Ursuline College,Yes,260,86,699,717,68
Valley City State University,No,344,212,863,189,40
Valparaiso University,Yes,1727,520,2501,198,95
Vanderbilt University,Yes,4690,1499,5500,90,83
Vassar College,Yes,1877,653,2164,77,90
Villanova University,Yes,5588,1477,6362,1292,96
Virginia Commonwealth University,No,3497,1567,10262,5065,45
Virginia State University,No,2440,704,3006,338,31
Virginia Tech,No,11719,4277,18511,604,73
Virginia Union University,Yes,1610,453,1298,67,30
Virginia Wesleyan College,Yes,900,287,1130,417,68
Viterbo College,Yes,518,271,1014,387,73
Voorhees College,Yes,1006,188,703,20,58
Wabash College,Yes,623,256,801,5,72
Wagner College,Yes,1015,417,1324,117,75
Wake Forest University,Yes,2392,903,3499,172,89
Walsh University,Yes,890,477,847,497,68
Warren Wilson College,Yes,311,112,466,7,63
Wartburg College,Yes,1074,345,1295,105,67
Washington and Jefferson College,Yes,1100,334,1098,151,86
Washington and Lee University,Yes,1096,425,1584,3,90
Washington College,Yes,942,214,822,46,65
Washington State University,No,5839,2440,14445,1344,56
Washington University,Yes,5259,1254,4879,1274,90
Wayne State College,No,1373,724,2754,474,52
Waynesburg College,Yes,978,324,1280,61,63
Webber College,Yes,143,79,327,110,90
Webster University,Yes,462,226,1739,1550,48
Wellesley College,Yes,1249,579,2195,156,91
Wells College,Yes,240,130,416,19,69
Wentworth Institute of Technology,Yes,1257,452,2961,572,64
Wesley College,Yes,807,350,872,448,84
Wesleyan University,Yes,1973,712,2714,27,92
West Chester University of Penn.,No,3539,1372,7484,1904,52
West Liberty State College,No,1062,478,2138,227,60
West Virginia Wesleyan College,Yes,1400,483,1509,170,67
Western Carolina University,No,2519,1057,5000,706,55
Western Maryland College,Yes,984,278,1071,98,60
Western Michigan University,No,7191,2738,15739,4278,55
Western New England College,Yes,1471,409,1803,1116,59
Western State College of Colorado,No,1623,604,2315,146,52
Western Washington University,No,3563,1549,8909,506,61
Westfield State College,No,2150,825,3234,941,65
Westminster College MO,Yes,553,184,665,37,62
Westminster College,Yes,866,377,1411,72,80
Westminster College of Salt Lake City,Yes,720,213,979,743,50
Westmont College,No,713,351,1276,9,87
Wheaton College IL,Yes,920,548,2200,56,85
Westminster College PA,Yes,1373,417,1335,30,71
Wheeling Jesuit College,Yes,755,213,971,305,72
Whitman College,Yes,998,359,1220,46,72
Whittier College,Yes,1069,344,1235,30,52
Whitworth College,Yes,926,372,1270,160,80
Widener University,Yes,1492,502,2186,2171,63
Wilkes University,Yes,1431,434,1803,603,67
Willamette University,Yes,1327,395,1595,159,68
William Jewell College,Yes,547,315,1279,75,59
William Woods University,Yes,435,227,851,120,52
Williams College,Yes,1245,526,1988,29,99
Wilson College,Yes,130,46,199,676,67
Wingate College,Yes,1017,383,1207,157,91
Winona State University,No,2047,1301,5800,872,58
Winthrop University,No,1805,769,3395,670,59
Wisconsin Lutheran College,Yes,128,75,282,22,50
Wittenberg University,Yes,1739,575,1980,144,78
Wofford College,Yes,935,273,1059,34,75
Worcester Polytechnic Institute,Yes,2314,682,2802,86,82
Worcester State College,No,1515,543,3089,2029,40
Xavier University,Yes,1805,695,2849,1107,83
Xavier University of Louisiana,Yes,1915,695,2793,166,49
Yale University,Yes,2453,1317,5217,83,99
York College of Pennsylvania,Yes,1855,691,2988,1726,99
